"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2019","126,050","126,060","126,130","125,790","20.25K","0.16%"
"Oct 23, 2019","125,850","125,900","126,170","125,770","28.06K","0.06%"
"Oct 22, 2019","125,780","125,770","125,915","125,600","18.72K","-0.10%"
"Oct 21, 2019","125,910","126,540","126,540","125,885","3.74K","-0.57%"
"Oct 18, 2019","126,630","126,870","126,870","126,500","23.56K","-0.06%"
"Oct 17, 2019","126,700","127,230","127,305","126,585","21.83K","-0.39%"
"Oct 16, 2019","127,200","127,215","127,385","126,985","22.86K","-0.29%"
"Oct 15, 2019","127,570","127,765","127,765","127,455","13.30K","0.01%"
"Oct 14, 2019","127,560","127,410","127,560","127,295","3.23K","0.01%"
"Oct 11, 2019","127,550","127,625","127,625","127,315","3.63K","-0.35%"
"Oct 10, 2019","128,000","128,170","128,530","127,910","17.19K","-0.13%"
"Oct 08, 2019","128,170","128,595","128,595","128,140","27.52K","-0.43%"
"Oct 07, 2019","128,725","128,805","128,960","128,460","4.10K","-0.06%"
"Oct 04, 2019","128,800","127,670","128,800","127,670","21.80K","1.05%"
"Oct 02, 2019","127,465","127,720","127,770","127,405","4.31K","0.04%"
"Oct 01, 2019","127,415","127,840","127,950","127,230","12.26K","-0.34%"
"Sep 30, 2019","127,845","128,190","128,190","127,845","7.64K","-0.11%"
"Sep 27, 2019","127,990","128,000","128,155","127,930","6.00K","-0.10%"
"Sep 26, 2019","128,115","127,985","128,115","127,940","1.51K","-0.01%"
"Sep 25, 2019","128,125","128,140","128,220","128,090","4.18K","0.25%"
"Sep 24, 2019","127,810","127,825","127,910","127,590","10.88K","-0.01%"
"Sep 23, 2019","127,820","127,750","128,015","127,750","6.55K","0.05%"
"Sep 20, 2019","127,760","127,880","127,880","127,655","1.17K","-0.09%"
"Sep 19, 2019","127,875","127,700","128,030","127,565","20.05K","0.17%"
"Sep 18, 2019","127,660","127,425","127,660","127,405","8.73K","0.26%"
"Sep 17, 2019","127,325","127,440","127,440","126,945","21.10K","0.11%"
"Sep 16, 2019","127,185","127,640","127,990","127,185","19.58K","-1.00%"
"Sep 11, 2019","128,470","128,425","128,560","128,345","11.79K","-0.07%"
